,설립구분,지역,학교명,기준연도,출생년도,학년,구분,학생수
287370,공립,충청북도 단양군,가곡초등학교,2022,12,4학년,in,0
293679,공립,충청북도 단양군,가곡초등학교,2022,12,4학년,out,1
299988,공립,충청북도 단양군,가곡초등학교,2022,12,4학년,ttl,4
381996,공립,충청북도 단양군,가곡초등학교,2021,12,3학년,in,0
388305,공립,충청북도 단양군,가곡초등학교,2021,12,3학년,out,0
394614,공립,충청북도 단양군,가곡초등학교,2021,12,3학년,ttl,5
476547,공립,충청북도 단양군,가곡초등학교,2020,12,2학년,in,0
482836,공립,충청북도 단양군,가곡초등학교,2020,12,2학년,out,0
489125,공립,충청북도 단양군,가곡초등학교,2020,12,2학년,ttl,4
570860,공립,충청북도 단양군,가곡초등학교,2019,12,1학년,in,0
577125,공립,충청북도 단양군,가곡초등학교,2019,12,1학년,out,0
583390,공립,충청북도 단양군,가곡초등학교,2019,12,1학년,ttl,4
552016,공립,충청북도 단양군,가곡초등학교대곡분교장,2020,08,6학년,in,7
558305,공립,충청북도 단양군,가곡초등학교대곡분교장,2020,08,6학년,out,0
564594,공립,충청북도 단양군,가곡초등학교대곡분교장,2020,08,6학년,ttl,16
646041,공립,충청북도 단양군,가곡초등학교대곡분교장,2019,08,5학년,in,8
652306,공립,충청북도 단양군,가곡초등학교대곡분교장,2019,08,5학년,out,3
658571,공립,충청북도 단양군,가곡초등학교대곡분교장,2019,08,5학년,ttl,13
739876,공립,충청북도 단양군,가곡초등학교대곡분교장,2018,08,4학년,in,4
746128,공립,충청북도 단양군,가곡초등학교대곡분교장,2018,08,4학년,out,1
752380,공립,충청북도 단양군,가곡초등학교대곡분교장,2018,08,4학년,ttl,5
833588,공립,충청북도 단양군,가곡초등학교대곡분교장,2017,08,3학년,in,2
839831,공립,충청북도 단양군,가곡초등학교대곡분교장,2017,08,3학년,out,2
846074,공립,충청북도 단양군,가곡초등학교대곡분교장,2017,08,3학년,ttl,3
927136,공립,충청북도 단양군,가곡초등학교대곡분교장,2016,08,2학년,in,0
933355,공립,충청북도 단양군,가곡초등학교대곡분교장,2016,08,2학년,out,1
939574,공립,충청북도 단양군,가곡초등학교대곡분교장,2016,08,2학년,ttl,5
1020405,공립,충청북도 단양군,가곡초등학교대곡분교장,2015,08,1학년,in,4
1026616,공립,충청북도 단양군,가곡초등학교대곡분교장,2015,08,1학년,out,3
1032827,공립,충청북도 단양군,가곡초등학교대곡분교장,2015,08,1학년,ttl,3
438778,공립,충청북도 단양군,가곡초등학교대곡분교장,2021,09,6학년,in,5
445087,공립,충청북도 단양군,가곡초등학교대곡분교장,2021,09,6학년,out,1
451396,공립,충청북도 단양군,가곡초등학교대곡분교장,2021,09,6학년,ttl,11
533149,공립,충청북도 단양군,가곡초등학교대곡분교장,2020,09,5학년,in,3
539438,공립,충청북도 단양군,가곡초등학교대곡분교장,2020,09,5학년,out,0
545727,공립,충청북도 단양군,가곡초등학교대곡분교장,2020,09,5학년,ttl,7
627246,공립,충청북도 단양군,가곡초등학교대곡분교장,2019,09,4학년,in,5
633511,공립,충청북도 단양군,가곡초등학교대곡분교장,2019,09,4학년,out,3
639776,공립,충청북도 단양군,가곡초등학교대곡분교장,2019,09,4학년,ttl,4
721120,공립,충청북도 단양군,가곡초등학교대곡분교장,2018,09,3학년,in,3
727372,공립,충청북도 단양군,가곡초등학교대곡분교장,2018,09,3학년,out,2
733624,공립,충청북도 단양군,가곡초등학교대곡분교장,2018,09,3학년,ttl,3
814859,공립,충청북도 단양군,가곡초등학교대곡분교장,2017,09,2학년,in,1
821102,공립,충청북도 단양군,가곡초등학교대곡분교장,2017,09,2학년,out,0
827345,공립,충청북도 단양군,가곡초등학교대곡분교장,2017,09,2학년,ttl,1
908479,공립,충청북도 단양군,가곡초등학교대곡분교장,2016,09,1학년,in,0
914698,공립,충청북도 단양군,가곡초등학교대곡분교장,2016,09,1학년,out,1
920917,공립,충청북도 단양군,가곡초등학교대곡분교장,2016,09,1학년,ttl,2
325225,공립,충청북도 단양군,가곡초등학교대곡분교장,2022,10,6학년,in,3
331534,공립,충청북도 단양군,가곡초등학교대곡분교장,2022,10,6학년,out,1
337843,공립,충청북도 단양군,가곡초등학교대곡분교장,2022,10,6학년,ttl,11
419851,공립,충청북도 단양군,가곡초등학교대곡분교장,2021,10,5학년,in,4
426160,공립,충청북도 단양군,가곡초등학교대곡분교장,2021,10,5학년,out,0
432469,공립,충청북도 단양군,가곡초등학교대곡분교장,2021,10,5학년,ttl,8
514282,공립,충청북도 단양군,가곡초등학교대곡분교장,2020,10,4학년,in,3
520571,공립,충청북도 단양군,가곡초등학교대곡분교장,2020,10,4학년,out,0
526860,공립,충청북도 단양군,가곡초등학교대곡분교장,2020,10,4학년,ttl,4
608451,공립,충청북도 단양군,가곡초등학교대곡분교장,2019,10,3학년,in,0
614716,공립,충청북도 단양군,가곡초등학교대곡분교장,2019,10,3학년,out,1
620981,공립,충청북도 단양군,가곡초등학교대곡분교장,2019,10,3학년,ttl,2
702364,공립,충청북도 단양군,가곡초등학교대곡분교장,2018,10,2학년,in,2
708616,공립,충청북도 단양군,가곡초등학교대곡분교장,2018,10,2학년,out,0
714868,공립,충청북도 단양군,가곡초등학교대곡분교장,2018,10,2학년,ttl,2
796130,공립,충청북도 단양군,가곡초등학교대곡분교장,2017,10,1학년,in,2
802373,공립,충청북도 단양군,가곡초등학교대곡분교장,2017,10,1학년,out,2
808616,공립,충청북도 단양군,가곡초등학교대곡분교장,2017,10,1학년,ttl,2
211676,공립,충청북도 단양군,가곡초등학교대곡분교장,2023,11,6학년,in,4
217983,공립,충청북도 단양군,가곡초등학교대곡분교장,2023,11,6학년,out,1
224290,공립,충청북도 단양군,가곡초등학교대곡분교장,2023,11,6학년,ttl,7
306298,공립,충청북도 단양군,가곡초등학교대곡분교장,2022,11,5학년,in,4
312607,공립,충청북도 단양군,가곡초등학교대곡분교장,2022,11,5학년,out,3
318916,공립,충청북도 단양군,가곡초등학교대곡분교장,2022,11,5학년,ttl,9
400924,공립,충청북도 단양군,가곡초등학교대곡분교장,2021,11,4학년,in,2
407233,공립,충청북도 단양군,가곡초등학교대곡분교장,2021,11,4학년,out,2
413542,공립,충청북도 단양군,가곡초등학교대곡분교장,2021,11,4학년,ttl,3
495415,공립,충청북도 단양군,가곡초등학교대곡분교장,2020,11,3학년,in,2
501704,공립,충청북도 단양군,가곡초등학교대곡분교장,2020,11,3학년,out,0
507993,공립,충청북도 단양군,가곡초등학교대곡분교장,2020,11,3학년,ttl,4
589656,공립,충청북도 단양군,가곡초등학교대곡분교장,2019,11,2학년,in,1
595921,공립,충청북도 단양군,가곡초등학교대곡분교장,2019,11,2학년,out,1
602186,공립,충청북도 단양군,가곡초등학교대곡분교장,2019,11,2학년,ttl,3
