,학교명,학교도로명 주소,폐교여부,new위도,new경도
153,대길초등학교,충청북도 청주시 청원구 북이면 대길길 28-24,N,36.7324566,127.5589138
154,동화초등학교,충청북도 청주시 상당구 남일면 척산화당로 539,N,36.5471920,127.4923250
155,만수초등학교,충청북도 청주시 흥덕구 오송읍 만수2길 11,N,36.6272721,127.3292945
156,문의초등학교,충청북도 청주시 상당구 문의면 문의시내1길 28-23,N,36.5186330,127.4934880
157,문의초등학교도원분교장,충청북도 청주시 상당구 문의면 두모1길 13-14,N,36.5178511,127.4697841
158,미원초등학교,충청북도 청주시 상당구 미원면 단재로 2482,N,36.6357860,127.6598295
159,미원초등학교금관분교장,충청북도 청원군 미원면 운암계원로 601,N,36.6209746,127.7226991
160,북이초등학교,충청북도 청주시 청원구 북이면 의암로 342,N,36.7618569,127.5559071
161,비상초등학교,충청북도 청주시 청원구 내수읍 세교초정로 171,N,36.7122284,127.5824347
162,상봉초등학교,충청북도 청주시 흥덕구 오송읍 상봉길 9,N,36.6386904,127.2865375
163,석성초등학교,충청북도 청주시 청원구 북이면 화상석성로 505,N,36.7488859,127.5136553
164,수성초등학교,충청북도 청주시 청원구 내수읍 내수로 601,N,36.7188912,127.5268547
165,수성초등학교구성분교장,충청북도 청주시 청원구 내수읍 충청대로 452,N,36.6894846,127.5147750
166,신송초등학교,충청북도 청주시 상당구 남일면 신송2길 46,N,36.5756500,127.4937000
167,오창초등학교,충청북도 청주시 청원구 오창읍 팔결로 690,N,36.7409305,127.4579107
168,옥산초등학교,충청북도 청주시 흥덕구 옥산면 옥산시내1길 19,N,36.6641290,127.3731085
169,옥산초등학교소로분교장,충청북도 청주시 흥덕구 옥산면 소로1길 65,Y,36.6886971,127.4037826
170,옥포초등학교,충청북도 청주시 서원구 현도면 죽전1길 45-7,N,36.4968740,127.4164839
171,외천초등학교,충북 청원군 부용면 부용외천2길 13-2,Y,36.540986,127.432369
172,청원초등학교,충청북도 청주시 청원구 오창읍 과학산업3로 228,N,36.7096080,127.4307500
173,행정초등학교,충청북도 청주시 상당구 가덕면 상장인차로 277,N,36.5366123,127.5319468
174,현도초등학교,충청북도 청주시 서원구 현도면 청남로 248,N,36.4765852,127.4269960
175,가경초등학교,충청북도 청주시 흥덕구 장구봉로 93,N,36.6247505,127.4434778
176,강서초등학교,충청북도 청주시 흥덕구 비하로9번길 38,N,36.6284014,127.4231980
177,개신초등학교,충청북도 청주시 서원구 신율로 20,N,36.6201150,127.4488630
