,학교명,위도,경도,학교도로명 주소,폐교여부
136,이월초등학교,36.930867,127.43115,충청북도 진천군 이월면 송림6길 26,N
137,진천삼수초등학교,36.856125,127.441341,충청북도 진천군 진천읍 중앙서3길 6,N
138,진천삼수초등학교매산분교장,,,,Y
139,진천상산초등학교,36.8552386,127.4379969,충청북도 진천군 진천읍 상산로 35,N
140,초평초등학교,36.8474768,127.538466,충청북도 진천군 초평면 초동로 143,N
141,학성초등학교,36.8998428075,127.4432654427,충청북도 진천군 이월면 진광로 398,N
142,한천초등학교,36.9069381,127.507814,충청북도 진천군 덕산읍 초금로 687-2,N
143,가덕초등학교,36.5779259622,127.5784829361,충청북도 청주시 상당구 가덕면 단재로 1448,N
144,각리초등학교,36.706582,127.4246729,충청북도 청주시 청원구 오창읍 오창중앙로 47-8,N
145,갈원초등학교,36.5688648976,127.3964891356,충청북도 청주시 서원구 남이면 저산척북로 375,N
146,강내초등학교,36.5971642516,127.3568650427,충청북도 청주시 흥덕구 강내면 태성탑연로 117,N
147,오송초등학교,36.613129,127.325667,충청북도 청주시 흥덕구 오송읍 오송2길 26,N
148,남이초등학교,36.5770968,127.4542751,충청북도 청주시 서원구 남이면 대련길 61,N
149,남일초등학교,36.5757861775,127.5094741001,충청북도 청주시 상당구 남일면 단재로 630,N
150,남일초등학교두산분교장,,,,Y
151,낭성초등학교,36.6236753,127.6017914,충청북도 청주시 상당구 낭성면 낭성시내길 5,N
152,내수초등학교,36.7269055,127.5368015,충청북도 청주시 청원구 내수읍 마산1길 114-1,N
153,대길초등학교,36.732305,127.5596419,충청북도 청주시 청원구 북이면 대길길 28-24,N
154,동화초등학교,36.5473407,127.4922604,충청북도 청주시 상당구 남일면 척산화당로 539,N
155,만수초등학교,36.6273027,127.3293335,충청북도 청주시 흥덕구 오송읍 만수2길 11,N
156,문의초등학교,36.518055,127.493614,충청북도 청주시 상당구 문의면 문의시내1길 28-23,N
157,문의초등학교도원분교장,36.5175818,127.4703977,충청북도 청주시 상당구 문의면 두모1길 13-14,N
158,미원초등학교,36.635786,127.6598295,충청북도 청주시 상당구 미원면 단재로 2482,N
159,미원초등학교금관분교장,36.6211314,127.7232631,충청북도 청원군 미원면 운암계원로 601,N
160,북이초등학교,36.7612547,127.5560059,충청북도 청주시 청원구 북이면 의암로 342,N
161,비상초등학교,36.7111494,127.5820819,충청북도 청주시 청원구 내수읍 세교초정로 171,N
162,상봉초등학교,36.6382505,127.2861417,충청북도 청주시 흥덕구 오송읍 상봉길 9,N
163,석성초등학교,36.74946,127.5136869,충청북도 청주시 청원구 북이면 화상석성로 505,N
164,수성초등학교,36.719091,127.526084,충청북도 청주시 청원구 내수읍 내수로 601,N
165,수성초등학교구성분교장,36.6899040705,127.5147194609,충청북도 청주시 청원구 내수읍 충청대로 452,N
