,시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소,new위도,new경도
155,충북,수성초 입동분교장,1996,청주,초,매각, 청주시 청원구 내수읍 입상리 425-5,36.7299229,127.4926139
45,충북,내북초 이원분교장,1996,보은,초,매각,보은군 내북면 이원리 209-1,36.5430451,127.6777390
47,충북,노은초 수룡분교장,1996,충주,초,미활용,충주시 노은면 수룡리 554-1,37.0423469,127.8000697
25,충북,괴산명덕초 제월분교장,1996,괴산증평,초,미활용,괴산군 괴산읍 제월리 289,36.8220056,127.8289500
228,충북,청풍초 금산분교장,1996,제천,초,매각,제천시 수산면 상천리 417,36.9672887,128.2365757
142,충북,소태초 덕은분교장,1996,충주,초,대부,충주시 소태면 덕은리 229,37.1431654,127.7979533
32,충북,금성초 장선분교장,1996,제천,초,대부,제천시 청풍면 장선리 98,37.0580636,128.0988009
42,충북,낭성초 산동분교장,1996,청주,초,매각,  청주시 상당구 낭성면 관정리 277-1,36.6177909,127.6333662
65,충북,도담초,1997,단양,초,매각, 단양군 매포읍 우덕리 63,37.0189338,128.3296365
205,충북,이안초,1997,충주,초,매각,충주시 이류면 완오리 889,36.9784085,127.8348458
161,충북,신기초,1997,괴산증평,초,매각,괴산군 괴산읍 신기리 469,36.8440631,127.7954875
117,충북,산척초 석천분교장,1997,충주,초,매각,충주시 산척면 석천리 203,37.1044165,128.0362107
216,충북,창암초,1998,충주,초,대부,충주시 가금면 창동리 산22-2,,
138,충북,세평초,1998,괴산증평,초,대부,괴산군 불정면 세평리 214,36.8573180,127.8205047
154,충북,수산초 추동분교장,1998,제천,초,매각,제천시 수산면 도전리 175,36.9565865,128.1787061
128,충북,상촌초 황학분교장,1998,영동,초,대부,영동군 상촌면 궁촌리 301,36.1072755,127.9174388
31,충북,군동초,1998,옥천,초,매각,옥천군 옥천읍 수북리 83,36.3150064,127.6093007
248,충북,현도초 노산분교장,1998,청주,초,매각, 청주시 서원구 현도면 노산리 538,36.4551782,127.4447493
187,충북,옥산초 금계분교장,1998,청주,초,매각, 청주시 흥덕구 옥산면 금계리 223,36.6919267,127.3504325
249,충북,현암초 ,1999,청주,초,자체활용,청주시 흥덕구 현암동 89,36.6028452,127.3927836
182,충북,영춘초 동대분교장,1999,단양,초,자체활용,단양군 영춘면 동대리 806,37.0734448,128.5193569
122,충북,삼화초,1999,옥천,초,매각,옥천군 안남면 청정리 510-1,36.3705708,127.6849558
189,충북,옥산초 호죽분교장,1999,청주,초,대부,청주시 흥덕구 옥산면 호죽리 300-3,36.7052371,127.3705305
192,충북,용산초,1999,영동,초,미활용,영동군 용산면 한곡리 206-2,36.2756273,127.8113998
194,충북,용암초,1999,영동,초,대부,영동군 황간면 용암리 642,36.2555627,127.8597930
184,충북,오수초,1999,괴산증평,초,대부,괴산군 연풍면 유하리 196-9,36.7800379,127.9758253
244,충북,학산초 봉산분교장,1999,영동,초,대부,영동군 학산면 황산리 563-1,36.0754844,127.6575715
201,충북,유덕초,1999,제천,초,미활용,제천시 덕산면 신현리606,36.9276190,128.1437361
96,충북,백봉초 장암분교장,1999,괴산증평,초,대부,괴산군 청안면 장암리 401-1,36.7658600,127.7079292
94,충북,백곡초 성대분교장,1999,진천,초,대부,진천군 백곡면 성대리 498-2,36.9100690,127.3586934
210,충북,장연초 장풍분교장,1999,괴산증평,초,매각,괴산군 장연면 장암리 285-3,36.7875191,127.9156100
99,충북,범화초,1999,영동,초,매각,영동군 학산면 범화리 748-1,36.0926728,127.7197452
217,충북,천덕초,1999,영동,초,대부,영동군 매곡면 공수리 463-2,36.1603521,127.9718050
218,충북,청동초,1999,옥천,초,대부,옥천군 청산면 효목리 675-1,36.3294100,127.8151793
247,충북,한천초 두촌분교장,1999,진천,초,매각,진천군 덕산읍 두촌리 100,,
224,충북,청성초 화성분교장,1999,옥천,초,미활용,옥천군 청성면 화성리 295-1,36.3490980,127.7372399
83,충북,문의초 소전분교장,1999,청주,초,매각,  청주시 상당구 문의면 소전리 653-2,36.4557065,127.5250562
235,충북,추평초,1999,충주,초,대부,충주시 엄정면 추평리 454,37.1257498,127.9258199
199,충북,원남초 문암분교장,1999,음성,초,대부,음성군 원남면 문암리 593,36.8539446,127.6243778
20,충북,공전초,1999,제천,초,대부,제천시 봉양읍 공전리 265,37.1141741,128.0796984
123,충북,상진초 적성분교장,1999,단양,초,매각, 단양군 적성면 하리 59,36.9607388,128.2937500
130,충북,생극초 오생분교장,1999,음성,초,매각,음성군 생극면 생리 570,37.0273576,127.6301474
107,충북,봉양초 봉남분교,1999,제천,초,매각,제천시 봉양읍 마곡리 540,37.0897728,128.1147278
160,충북,수회초 팔봉분교장,1999,충주,초,대부,충주시 살미면 토계리 263,36.8986532,127.9190889
166,충북,앙성초 영죽분교장,1999,충주,초,대부,충주시 앙성면 영죽리 264-1,37.1352027,127.7806121
153,충북,수산초 대전분교장,1999,제천,초,매각,제천시 수산면 대전리 218,36.9056608,128.2413828
168,충북,야동초 하남분교장,1999,충주,초,매각,충주시 소태면 주치리 645-1,37.1507399,127.8527322
129,충북,생극초 관성분교장,1999,음성,초,미활용,음성군 생극면 관성리 13-1,37.0330323,127.5795908
68,충북,동량초 서운분교장,1999,충주,초,미활용,충주시 동량면 서운리 155,36.9883947,128.0546341
135,충북,세성초 공이분교장,1999,충주,초,대부,충주시 살미면 공이리 448-1,36.8849604,128.0373527
44,충북,내북초 이식분교장,1999,보은,초,대부,보은군 산외면 이식리 84,36.5849459,127.6972499
104,충북,보덕초 ,1999,보은,초,매각,보은군 탄부면 하장리 35-5,36.4345255,127.8044252
174,충북,어룡초,1999,괴산증평,초,매각,괴산군 청천면 도원리 287-1,36.6830245,127.7679466
118,충북,삼산초 동정분교장,1999,보은,초,매각,보은군 수한면 동정리 20-1,36.4742847,127.6645469
52,충북,단양초 금곡분교장,1999,단양,초,매각, 단양군 단양읍 기촌리 107,36.9812787,128.3995471
119,충북,삼산초 중초분교장,1999,보은,초,대부,보은군 보은읍 중초리 408-1,36.5109603,127.6865996
53,충북,단양초 노동분교장,1999,단양,초,대부,단양군 단양읍 노동리 265,36.9560097,128.3734815
91,충북,미원초 종암분교장,2000,청주,초,대부,청주시 상당구 미원면 종암리 387,36.6882972,127.6271572
150,충북,수산초,2000,제천,초,매각,제천시 수산면 내리 168-2,36.9325104,128.1837867
222,충북,청성초 묘금분교장,2000,옥천,초,대부,옥천군 청성면 묘금리 19-1,36.2766259,127.7321064
90,충북,미원초 용곡분교장,2000,청주,초,미활용,청주시 상당구 미원면 용곡리 287-1,36.6721190,127.6430875
89,충북,미원초 기암분교장,2000,청주,초,매각, 청주시 상당구 미원면 기암리 251-1,36.6605004,127.6365941
13,충북,감곡초 상평분교장,2000,음성,초,미활용,음성군 감곡면 상평리 374-1,37.0726614,127.6385593
158,충북,수정초 북암분교장,2000,보은,초,매각,보은군 속리산면 하판리 43,36.5403710,127.7861325
250,충북,화곡초,2001,영동,초,매각,영동군 영동읍 주곡리 44-1,36.1783078,127.8311612
177,충북,어상천초 선암분교장,2001,단양,초,대부,단양군 어상천면 석교리 69,37.1366553,128.3329634
102,충북,보광초 백마분교장,2001,괴산증평,초,매각,괴산군 사리면 중흥리 1-1,36.8386561,127.6509851
113,충북,산외초 장갑분교장,2002,보은,초,대부,보은군 산외면 장갑리 318,36.5737761,127.7708665
242,충북,탄부초 사직분교장,2002,보은,초,대부,보은군 탄부면 사직리 151-3,36.4455009,127.7534850
43,충북,내북초 아곡분교장,2002,보은,초,대부,보은군 내북면 상궁리 46-2,36.5438970,127.6539053
46,충북,노송초,2002,영동,초,매각,영동군 황간면 노근리 700,36.2112325,127.8817240
30,충북,구정초 오상분교장,2002,진천,초,대부,진천군 초평면 은암리 290-1,36.7937584,127.5109951
67,충북,동광초 학림분교장,2003,보은,초,자체활용,보은군 보은읍 중동리 9-1,36.5127482,127.7207587
11,충북,가덕초 상야분교장,2004,청주,초,대부,청주시 상당구 가덕면 상야리 351-1,36.5902906,127.5637148
41,충북,낭성초 갈산분교장,2004,청주,초,대부,청주시 상당구 낭성면 갈산리 341-1,36.6549894,127.5758023
209,충북,장연초 광진분교장,2005,괴산증평,초,매각,괴산군 장연면 광진리 814-1,36.8710126,127.9303286
226,충북,청천초 신월분교장,2007,괴산증평,초,미활용,괴산군 청천면 신월리 144,36.6361487,127.7751220
157,충북,수정초 법주분교장,2007,보은,초,대부,보은군 속리산면 상판리 210-2,36.5103045,127.8065770
121,충북,삼승초,2007,보은,초,매각,보은군 삼승면 상가리 333,36.4174875,127.7315956
50,충북,능암초,2007,충주,초,매각,충주시 앙성면 돈산리 98-4,37.0942973,127.7930547
186,충북,오창초 유리분교장,2008,청주,초,자체활용,청주시 청원구 오창읍 유리 394,36.7544474,127.4760457
