,목록키,목록명,목록설명,조회수,분류체계,기관코드,기관명,국가중점여부,목록 수정일,목록 URL,다운로드_활용신청건수,키워드,데이터 확장자,관리 부서명
12326,15133702,경기도교육청_경기도 평준화지역 고등학교 학군 현황,"경기도교육청 관내  평준화지역 수원학군, 성남학군, 안양권학군, 부천학군, 고양학군, 광명학군, 안산학군, 의정부학군, 용인학군에 속한  고등학교 현황입니다.",878,교육 - 유아및초·중등교육,7530000,경기도교육청,N,2024-09-25,https://www.data.go.kr/data/15133702/fileData.do,176.0,"평준화,고등학교,학군",csv,진로직업교육과
5783,15014351,한국교육학술정보원_학교알리미 공개용데이터,"학교알리미 공개용데이터는 ""학사, 학생"", ""재정, 시설, 설비"", ""보건, 복지"" 3가지로 구분하여 희망하는 데이터의 ""공시년도"", ""학교급"", ""교육청""을 선택하여 파일데이터로 다운로드 받을 수 있습니다.<br/>[(예시) 2022년도 경기도 소재 고등학교 학생들의 성별 학생수 데이터가 필요한 경우에는 다음과 같이 검색해주시면 됩니다. (""학사,학생"" →""성별 학생수""→ ""2022년"", ""고등학교"", ""경기도교육청"" 선택)]<br/>추가적으로 연도별, 항목별로 자료 기준일과 공시시기가 상이하므로 세부내용은 ""학교알리미 홈페이지"" → ""알리미 소식"" → ""자료실"" → ""연도별 정보공시 입력지침서""를 확인 바랍니다.",46231,교육 - 유아및초·중등교육,B550629,한국교육학술정보원,Y,2024-12-10,https://www.data.go.kr/data/15014351/fileData.do,2647.0,"학교정보공시,학교알리미,초중등학교",CSV,데이터공시부
18353,15098634,한국교육개발원_위(Wee) 프로젝트 사업기관 현황,"2021년 위프로젝트 현황 조사(조사기준일: 2021년 4월 1일)에서 발췌한 가정형 위(Wee) 센터, 병원형 위(Wee)센터, 위(Wee) 스쿨의 지역별 기관명 자료입니다.",1982,교육 - 유아및초·중등교육,B090027,한국교육개발원,N,2024-08-29,https://www.data.go.kr/data/15098634/fileData.do,819.0,"가정형 위(Wee)센터,병원형 위(Wee)센터,위(Wee) 스쿨",hwpx,성과확산실
6997,3036368,경상남도교육청_경상남도 학교정보,"유 초 중 고 특수 각종학교의 지역, 설립구분, 고교유형, 남녀공학, 학급수, 학생수, 교원수, 직원수, 개교일자, 우편번호, 주소, 전화, 팩스, 홈페이지",6386,교육 - 유아및초·중등교육,9010000,경상남도교육청,N,2024-11-19,https://www.data.go.kr/data/3036368/fileData.do,2858.0,"학교명,홈페이지주소,주소",xlsx,창의인재과
5210,15116988,한국장학재단_학자금지원정보(고등학생),"한국장학재단, 전국 지자체, 민간장학재단 등에서 고등학생을 대상으로 지원하는 학자금 정보(운영기관, 상품명, 상품구분, 학자금 지원 유형, 신청대상, 신청기간, 지원금액, 지원인원 등)입니다.<br/>학자금 지원정보(고등학생)에 관한 자세한 정보는 재단 홈페이지(https://portal.kosaf.go.kr/CO/jspAction.do?forwardOnlyFlag=N&forwardPage=pt/sm/cstmdsgngoods/PTSMCstmDsgnGoods_11M&beanName=PTSMCstmDsgnHgscGoodsSVC&methodName=getItgnSrchCstmDsgnGoodsList&inputVOName=kr.go.kosaf.portal.pt.sm.cstmdsgnhgscgoods.svc.PTSMCstmDsgnHgscGoodsSVO&ignoreSession=Y&no=1&lgclMenuClssCd=ss02&smclMenuClssCd=ss0205&naviParam=MK,01,01,05)를 참고바랍니다.",1974,교육 - 유아및초·중등교육,B552529,한국장학재단,N,2024-12-18,https://www.data.go.kr/data/15116988/fileData.do,572.0,"장학금,학자금지원,스마트맞춤설계",csv,장학점검사업부
18127,15133782,경기도교육청_경기도 지역 중학교 및 고등학교 현황,고등학교 입학전학 포털사이트 운영을 위한 기본정보로 경기도교육청 관내 25개 교육지원청의 관내 중학교와  고등학교 목록을 제공하고 있습니다.<br/>고등학교 학군 및 구역정보는 평준화학군에만 해당됩니다.  그외 학교는 학교명과 소속교육지원청 정보만 제공됩니다.,2215,교육 - 유아및초·중등교육,7530000,경기도교육청,N,2024-08-29,https://www.data.go.kr/data/15133782/fileData.do,357.0,"고등학교입학,중학교,고등학교",csv,진로직업교육과
16118,15135428,대구광역시교육청_고등학교학교별학군정보,"대구광역시교육청 고등학교 전입학 시행지침에 따른 고등학교 학군별 학교정보.<br/>기관명, 학교성별, 정원외비율, 혁신도시정원외비율, 학군 항목",405,교육 - 유아및초·중등교육,7240000,대구광역시교육청,N,2024-09-06,https://www.data.go.kr/data/15135428/fileData.do,108.0,"전입학,고등학교,학군",csv,회계정보과
5741,15123572,한국교육학술정보원_초중등학교 학교정보,"전국 초중등학교를 대상으로 학교코드, 학교명, 설립년도, 남녀공항구분 등 학교정보에 대한 데이터를 제공하고 있습니다.",382,교육 - 유아및초·중등교육,B550629,한국교육학술정보원,N,2024-12-10,https://www.data.go.kr/data/15123572/fileData.do,207.0,"학교정보,초중등학교,교육정보통계",csv,나이스학교운영부
5702,15048967,한국교육학술정보원_초등학교 시간표 정보_일간,"초등학교의 학년도, 학교, 학기, 학년, 반, 교시별 시간표 수업내용을 확인할 수 있는 현황입니다.<br/>초등학교의 학년도, 학교, 학기, 학년, 반, 교시별 시간표 수업내용을 확인할 수 있는 현황입니다.",6845,교육 - 유아및초·중등교육,B550629,한국교육학술정보원,N,2024-12-11,https://www.data.go.kr/data/15048967/fileData.do,733.0,"학기,학년,수업내용",CSV,나이스학교운영부
5742,15123580,한국교육학술정보원_외국인학교 기본현황,"전국 외국인학교에 대한 학교코드, 인가일자, 학급 수, 학생 수, 교직원 수, 교원 수 등 관련 데이터를 제공하고 있습니다.",784,교육 - 유아및초·중등교육,B550629,한국교육학술정보원,N,2024-12-10,https://www.data.go.kr/data/15123580/fileData.do,170.0,"학교정보,외국인학교,교육정보",csv,나이스학교운영부
