시도교육청코드,시도교육청명,행정표준코드,학교명,학년도,학기,시간표일자,학년,학급명,교시,수업내용,수정일자
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,3,5,음악,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,5,1,영어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,5,2,음악,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,5,3,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,5,4,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,5,5,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,6,1,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,6,2,영어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,6,3,과학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,6,4,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,6,5,자율활동,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,7,1,자율활동,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,7,2,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,7,3,사회,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,7,4,도덕,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,7,5,영어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,8,1,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,8,2,과학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,8,3,영어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,8,4,음악,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230307,4,8,5,체육,20230312
