,지역,학교명,S_i(2025),T_i (2025),B_i(2025),D_i(2025),X_i(2025)
154,충청북도 청주시,동주초등학교,0.8207833405262961,0.8367616114403628,0.9493087557603688,0.06795224977043159,0.5661605206073753
155,충청북도 청주시,동화초등학교,0.8264489620382248,0.875505939370226,0.9493087557603688,0.0,0.04013015184381779
156,충청북도 청주시,만수초등학교,0.8229513714779899,0.8475155693908053,0.9493087557603688,0.0,0.6697396963123645
157,충청북도 청주시,모충초등학교,0.7839552080528435,0.8082561219603972,0.9493087557603688,0.03397612488521579,0.210412147505423
158,충청북도 청주시,문의초등학교,0.8601832474712358,0.8351854586153524,0.9493087557603688,0.0,0.03579175704989154
159,충청북도 청주시,문의초등학교도원분교장,0.791921171793371,0.8710402809637384,0.9493087557603688,0.0,0.03308026030368764
160,충청북도 청주시,미원초등학교,0.8161136450515206,0.8638186327046086,0.9493087557603688,0.0,0.03579175704989154
161,충청북도 청주시,미원초등학교금관분교장,0.8644916707643745,0.9999999999999999,0.9493087557603688,0.0,0.0037960954446854666
162,충청북도 청주시,복대초등학교,0.0,0.0,0.9493087557603688,0.03397612488521579,0.23915401301518438
163,충청북도 청주시,봉덕초등학교,0.8319371465717564,0.848208992341469,0.9493087557603688,0.03397612488521579,0.31778741865509763
164,충청북도 청주시,봉명초등학교,0.7970396603802901,0.867458955665824,0.9493087557603688,0.0,0.2613882863340564
165,충청북도 청주시,봉정초등학교,0.8530041181741179,0.8585151761067391,0.9493087557603688,0.03397612488521579,0.2570498915401302
166,충청북도 청주시,북이초등학교,0.886000929373204,0.829978083591137,0.9493087557603688,0.0,0.022234273318872018
167,충청북도 청주시,북일초등학교,0.803509096850883,0.8295060190384053,0.9493087557603688,0.0,0.021149674620390455
168,충청북도 청주시,분평초등학교,0.8316267479484943,0.8654413372434475,0.9493087557603688,0.06795224977043159,0.2478308026030369
169,충청북도 청주시,비봉초등학교,0.8454511595372256,0.8486495819867268,0.9493087557603688,0.0,0.4175704989154013
170,충청북도 청주시,비상초등학교,0.8093344615186828,0.8429975529910702,0.9493087557603688,0.0,0.03850325379609545
171,충청북도 청주시,사직초등학교,0.8132458867146167,0.8531400284998393,0.9493087557603688,0.06795224977043159,0.15184381778741865
172,충청북도 청주시,사천초등학교,0.8133562968175511,0.8545084758141219,0.9493087557603688,0.03397612488521579,0.4018438177874187
173,충청북도 청주시,산남초등학교,0.8309289178073458,0.8339559796261604,0.9493087557603688,0.03397612488521579,0.4414316702819957
