,지역,학교명,S_i(2025),T_i (2025),B_i(2025),D_i(2025),X_i(2025),SCR(2025),폐교위험등급
112,충청북도 제천시,화당초등학교,0.13450135139461966,0.4738274694357569,-0.3992971650876227,-0.6249001262617193,-0.6972709925885,0.5090662547621729,정상
22,충청북도 단양군,매포초등학교,0.3706395916936628,0.32039102515490303,-1.632472272074563,0.4867872556492776,-0.458579335874783,0.5089778469649971,정상
99,충청북도 제천시,봉양초등학교,0.34176187020074245,0.1564564623035561,-0.3992971650876227,-0.6249001262617193,-0.6620097251194282,0.5074915664171038,정상
124,충청북도 진천군,성암초등학교,0.3840784918902147,0.5528634180743751,1.0555723431553976,-0.6249001262617193,-0.7271074496777147,0.4886493790264043,정상
33,충청북도 보은군,속리초등학교,-0.5211458342591226,-0.07380339648613843,-1.355354270504464,-0.6249001262617193,-0.7108330185381431,0.4883629672167982,정상
190,충청북도 청주시,수성초등학교구성분교장,-0.025011769717190633,0.34322568536600107,0.9724369426843679,-0.6249001262617193,-0.7840679586662154,0.4864356993984428,정상
185,충청북도 청주시,석성초등학교,0.07160053292048242,0.7691688928001689,0.9724369426843679,-0.6249001262617193,-0.7650811223367151,0.4837890484678382,정상
230,충청북도 청주시,현도초등학교,0.04289954988499047,0.26231788013478735,0.9724369426843679,-0.6249001262617193,-0.7623687171467866,0.47831062661113277,정상
199,충청북도 청주시,용담초등학교현양원분교장,-0.16431704069602365,0.10901888074932968,0.9724369426843679,-0.6249001262617193,-0.7949175794259298,0.47785628245076855,정상
123,충청북도 진천군,백곡초등학교,0.1939929364026129,0.30411204051115465,1.0555723431553976,-0.6249001262617193,-0.7379570704374291,0.47397632793767797,정상
176,충청북도 청주시,상봉초등학교,-0.014087385285591376,0.475072108796177,0.9724369426843679,-0.6249001262617193,-0.7650811223367151,0.47350649828310937,정상
75,충청북도 음성군,맹동초등학교,-0.029023314552597133,0.26967313515580676,-0.21917046406705784,0.09769667198042872,-0.6104740265107848,0.4731469790985641,정상
82,충청북도 음성군,쌍봉초등학교,-0.07067464012440591,0.059414293348044364,-0.21917046406705784,-0.6249001262617193,-0.6918461822086428,0.47137019294396876,정상
239,충청북도 충주시,대미초등학교,-0.44338795503024153,-0.4795397776055523,-0.08061146328200819,-0.2343072623470447,-0.7162578289180003,0.46927280926120807,정상
109,충청북도 제천시,청풍초등학교,-0.6829398487601438,-0.2998876382667237,-0.3992971650876227,-0.6249001262617193,-0.7705059327165723,0.46589951583965555,정상
158,충청북도 청주시,문의초등학교,0.5379321253302448,-0.18949905271277354,0.9724369426843679,-0.6249001262617193,-0.6620097251194282,0.4624452916440446,정상
151,충청북도 청주시,대길초등학교,-0.1289691417031344,0.9427714216166128,0.9724369426843679,-0.6249001262617193,-0.7677935275266438,0.46175499140545073,정상
136,충청북도 청주시,갈원초등학교,0.22052146850805665,0.40332204049297105,0.9724369426843679,-0.6249001262617193,-0.7054082081582859,0.4569048751045252,정상
134,충청북도 청주시,가덕초등학교,0.05039007253139771,-0.1172252387140772,0.9724369426843679,-0.6249001262617193,-0.7325322600575719,0.4568321465117907,정상
17,충청북도 단양군,가평초등학교,-1.3058101722879583,-1.2274410553182138,-1.632472272074563,-0.6249001262617193,-0.773218337906501,0.4548481362581114,정상
182,충청북도 청주시,서촌초등학교,0.06862627828925832,0.7844950581774798,0.9724369426843679,-0.6249001262617193,-0.7243950444877861,0.45291757952539463,정상
110,충청북도 제천시,한송초등학교,-1.0906970927052633,-0.7085757826397777,-0.3992971650876227,-0.6249001262617193,-0.8111920105655014,0.44748320495293803,정상
118,충청북도 진천군,구정초등학교,0.3188898461842348,0.34374008293007985,1.0555723431553976,-0.6249001262617193,-0.6782841562589998,0.44420927147765055,정상
55,충청북도 영동군,황간초등학교,0.42271876889831483,-0.19805810247630723,-1.0089567685418401,-0.6249001262617193,-0.5236770604330695,0.4439398759187544,정상
244,충청북도 충주시,세성초등학교,-0.38659979917094417,-0.3962012998340481,-0.08061146328200819,-0.6249001262617193,-0.7135454237280717,0.4428056549587034,정상
86,충청북도 음성군,원남초등학교,-0.20198181882582011,0.16665245468463102,-0.21917046406705784,-0.6249001262617193,-0.670146940689214,0.43933890036022744,정상
126,충청북도 진천군,이월초등학교,0.5308980747693339,0.27876863171746197,1.0555723431553976,0.338562271394478,-0.5345266811927839,0.43890914442069634,정상
255,충청북도 충주시,충주교현초등학교,0.20122956278382206,-0.18703256961398412,-0.08061146328200819,3.6716213767997017,-0.15207754941285087,0.43596599290177335,정상
236,충청북도 충주시,단월초등학교,-0.479186291805971,-0.3981232796813928,-0.08061146328200819,-0.6249001262617193,-0.7162578289180003,0.4337295797349466,정상
235,충청북도 충주시,노은초등학교,-0.4454865442877695,0.8891009844749924,-0.08061146328200819,-0.6249001262617193,-0.7108330185381431,0.43370494165223783,정상
