"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","전체학급수","전체학생수","생활안전교육 시간(단위활동차시)-1학기","생활안전교육 시간(단위활동차시)-2학기","생활안전교육 시간(단위활동차시)-합계","교통안전교육 시간(단위활동차시)-1학기","교통안전교육 시간(단위활동차시)-2학기","교통안전교육 시간(단위활동차시)-합계","폭력예방및신변보호교육 시간(단위활동차시)-1학기","폭력예방및신변보호교육 시간(단위활동차시)-2학기","폭력예방및신변보호교육 시간(단위활동차시)-합계","약물중독예방교육 시간(단위활동차시) - 1학기 (2020년 이후)","약물중독예방교육 시간(단위활동차시) - 2학기 (2020년 이후)","약물중독예방교육 시간(단위활동차시) - 합계 (2020년 이후)","지능정보서비스과의존관련교육 시간(단위활동차시) - 1학기 (2023년 이후)","지능정보서비스과의존관련교육 시간(단위활동차시) - 2학기 (2023년 이후)","지능정보서비스과의존관련교육 시간(단위활동차시) - 합계 (2023년 이후)","재난안전교육 시간(단위활동차시)-1학기","재난안전교육 시간(단위활동차시)-2학기","재난안전교육 시간(단위활동차시)-합계","직업안전교육 시간(단위활동차시)-1학기","직업안전교육 시간(단위활동차시)-2학기","직업안전교육 시간(단위활동차시)-합계","응급처치교육 시간(단위활동차시)-1학기","응급처치교육 시간(단위활동차시)-2학기","응급처치교육 시간(단위활동차시)-합계"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 수성구","S030000687","대구복명초등학교","02","공립","N","","14","275","9.1","4.6","13.7","6.9","4.6","11.5","4.6","3.4","8","7.6","1.3","8.9","1.9","1.6","3.5","1.7","4.5","6.2","1.3","0.7","2","1.4","0.6","2"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 동구","S030000688","대구불로초등학교","02","공립","N","","15","299","8.8","6.7","15.5","7.3","5.7","13","6.3","5.7","12","4.3","5.3","9.6","2.5","2.9","5.4","3","4.5","7.5","1.8","1.8","3.6","2.2","2","4.2"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 중구","S030000689","대구삼덕초등학교","02","공립","N","","18","421","8.7","2","10.7","5.8","1.8","7.6","6","5.8","11.8","2.6","1.3","3.9","2.5","1.3","3.8","2.7","6.5","9.2","0.3","3.8","4.1","0.7","1.3","2"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 동구","S030000690","대구서촌초등학교","02","공립","N","","6","31","6.8","6.2","13","6.5","5","11.5","5.8","4.8","10.6","4.2","3","7.2","1.7","1.7","3.4","3.3","2.8","6.1","0.3","2","2.3","0.2","2.2","2.4"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 수성구","S030000691","대구성동초등학교","02","공립","N","","55","1558","8.5","3.7","12.2","6.5","4.5","11","3.3","4.8","8.1","2.6","2.4","5","2.6","2.4","5","2.7","3.4","6.1","1","1","2","1.2","0.8","2"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 동구","S030000692","대구송정초등학교","02","공립","N","","35","858","3.8","6.2","10","5.7","4.3","10","5","5","10","3.2","2.7","5.9","2.8","2.5","5.3","3.2","3.2","6.4","0.7","2.3","3","1.2","0.8","2"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 수성구","S030000694","대구수성초등학교","02","공립","N","","30","674","7.1","4.8","11.9","4.5","6.6","11.1","5.5","2.8","8.3","2.1","4.1","6.2","1.5","2.1","3.6","2.6","3.6","6.2","1.5","1","2.5","0.8","1.5","2.3"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 중구","S030000695","대구수창초등학교","02","공립","N","","20","346","8.2","3.8","12","5.3","5.6","10.9","3.8","4.7","8.5","2","3.3","5.3","2.4","2.2","4.6","1.7","5","6.7","0.7","1.3","2","1.2","0.8","2"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 동구","S030000696","대구숙천초등학교","02","공립","N","","26","633","7","6.2","13.2","6","5","11","5","3.6","8.6","3","2","5","2","3","5","3","3.7","6.7","1","1","2","1","1","2"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 수성구","S030000697","대구시지초등학교","02","공립","N","","12","247","8.2","3.8","12","6.5","5","11.5","4.7","3.3","8","2.4","2.5","4.9","2.4","2.5","4.9","3.3","3.2","6.5","1.2","0.8","2","0.8","1.2","2"
